date,url,text
2016/12,12/13/16,Washington Nationals signed free agent RHPMike Broadwayto a minor league contract and invited him to spring training.
2016/12,12/13/16,Washington Nationals signed free agent 2BEmmanuel Burrissto a minor league contract and invited him to spring training.
2016/12,12/13/16,Washington Nationals signed free agent LHPTim Collinsto a minor league contract and invited him to spring training.
2016/12,12/13/16,Washington Nationals signed free agent RHPJacob Turnerto a minor league contract and invited him to spring training.
2016/12,12/13/16,Washington Nationals signed free agent CAndruth Ramirezto a minor league contract.
2016/12,12/23/16,Washington Nationals signed free agent RHPGabriel Ariasto a minor league contract.
2016/12,12/27/16,Washington Nationals signed free agent RHPPedro Gonzalezto a minor league contract.
2016/12,12/31/16,Washington Nationals signed free agent LHPJosh Outmanto a minor league contract.
2016/11,11/3/16,RHPMark Melanconelected free agency.
2016/11,11/3/16,RHPMat Latoselected free agency.
2016/11,11/3/16,LHPSean Burnettelected free agency.
2016/11,11/3/16,2BStephen Drewelected free agency.
2016/11,11/3/16,RHPMatt Belisleelected free agency.
2016/11,11/3/16,LHPMarc Rzepczynskielected free agency.
2016/11,11/3/16,RHPYusmeiro Petitelected free agency.
2016/11,11/3/16,LFChris Heiseyelected free agency.
2016/11,11/3/16,CWilson Ramoselected free agency.
2016/11,11/10/16,Washington Nationals signed free agent 1BGeraldi Diazto a minor league contract.
2016/11,11/18/16,Washington Nationals selected the contract of 1BJose Marmolejosfrom Harrisburg Senators.
2016/11,11/18/16,Washington Nationals selected the contract of CRaudy Readfrom Potomac Nationals.
2016/11,11/18/16,Washington Nationals selected the contract of 1BMatt Skolefrom Syracuse Chiefs.
2016/11,11/18/16,Washington Nationals selected the contract of RHPAustin Vothfrom Syracuse Chiefs.
2016/11,11/18/16,Washington Nationals selected the contract of CFRafael Bautistafrom Harrisburg Senators.
2016/11,11/19/16,2BCorban Josephroster status changed by Washington Nationals.
2016/11,11/19/16,Washington Nationals signed free agent LFChris Heisey.
2016/11,11/19/16,Washington Nationals signed free agent LHPBraulio Larato a minor league contract and invited him to spring training.
2016/11,11/19/16,Washington Nationals signed free agent 2BCorban Josephto a minor league contract and invited him to spring training.
2016/11,11/20/16,RHPDerek Eitelroster status changed by Washington Nationals.
2016/11,11/20/16,Washington Nationals signed free agent OFBrandon Snyderto a minor league contract and invited him to spring training.
2016/11,11/20/16,Washington Nationals signed free agent RHPDerek Eitelto a minor league contract and invited him to spring training.
2016/11,11/22/16,Washington Nationals signed free agent RHPDustin Antolinto a minor league contract and invited him to spring training.
2016/11,11/22/16,Washington Nationals signed free agent CAdderling Ruizto a minor league contract.
2016/11,11/23/16,PhiladelphiaPhilliestradedRHPJimmyCorderotoWashingtonNationalsforPlayerToBeNamedLater.
2016/11,11/23/16,Philadelphia Phillies traded RHPJimmy Corderoto Washington Nationals for Player To Be Named Later.
2016/11,11/30/16,Washington Nationals signed free agent LHPYoan Aponteto a minor league contract.
2016/10,10/1/16,RHPA.J. Coleroster status changed by Washington Nationals.
2016/10,10/1/16,Washington Nationals signed free agent OFYadiel Hernandezto a minor league contract.
2016/10,10/3/16,Washington Nationals activated RHPA.J. Cole.
2016/10,10/7/16,Washington Nationals reassigned LHPMatt Graceto the minor leagues.
2016/10,10/7/16,Washington Nationals reassigned RHPTrevor Gottto the minor leagues.
2016/10,10/7/16,Washington Nationals reassigned RHPLucas Giolitoto the minor leagues.
2016/10,10/7/16,Washington Nationals reassigned RHPKoda Gloverto the minor leagues.
2016/10,10/7/16,Washington Nationals reassigned RHPMat Latosto the minor leagues.
2016/10,10/7/16,Washington Nationals reassigned RHPStephen Strasburgto the minor leagues.
2016/10,10/7/16,Washington Nationals reassigned RHPYusmeiro Petitto the minor leagues.
2016/10,10/7/16,Washington Nationals reassigned CSpencer Kieboomto the minor leagues.
2016/10,10/7/16,Washington Nationals reassigned CWilson Ramosto the minor leagues.
2016/10,10/7/16,Washington Nationals reassigned RHPRafael Martinto the minor leagues.
2016/10,10/7/16,Washington Nationals reassigned CFBrian Goodwinto the minor leagues.
2016/10,10/7/16,Washington Nationals activated LHPSean Burnett.
2016/10,10/7/16,Washington Nationals reassigned RHPMatt Belisleto the minor leagues.
2016/10,10/7/16,Washington Nationals reassigned RHPA.J. Coleto the minor leagues.
2016/10,10/7/16,Washington Nationals reassigned CFBen Revereto the minor leagues.
2016/10,10/14/16,Washington Nationals activated RHPMat Latos.
2016/10,10/14/16,Washington Nationals activated RHPA.J. Cole.
2016/10,10/14/16,Washington Nationals activated RHPStephen Strasburg.
2016/10,10/14/16,Washington Nationals activated LHPMatt Grace.
2016/10,10/14/16,Washington Nationals activated RHPRafael Martin.
2016/10,10/14/16,Washington Nationals activated RHPTrevor Gott.
2016/10,10/14/16,Washington Nationals activated RHPLucas Giolito.
2016/10,10/14/16,Washington Nationals activated RHPMatt Belisle.
2016/10,10/14/16,Washington Nationals activated RHPYusmeiro Petit.
2016/10,10/14/16,Washington Nationals activated CFBen Revere.
2016/10,10/14/16,Washington Nationals activated RHPKoda Glover.
2016/10,10/14/16,Washington Nationals activated RFBrian Goodwin.
2016/10,10/14/16,Washington Nationals activated CSpencer Kieboom.
2016/10,10/14/16,Washington Nationals activated CWilson Ramos.
2016/10,10/16/16,Washington Nationals signed free agent RHPCarlos Romeroto a minor league contract.
2016/10,10/25/16,Washington Nationals activated RHPAaron Barrettfrom the 60-day disabled list.
2016/10,10/25/16,Washington Nationals sent RHPAaron Barrettoutright to Syracuse Chiefs.
2016/10,10/26/16,Washington Nationals sent RHPAaron Barrettoutright to Syracuse Chiefs.
2016/09,9/1/16,Washington Nationals sent 2BStephen Drewon a rehab assignment to Potomac Nationals.
2016/09,9/2/16,Washington Nationals transferred RHPJoe Rossfrom the 15-day disabled list to the 60-day disabled list. Right shoulder inflammation.
2016/09,9/2/16,Washington Nationals designated CFMatt den Dekkerfor assignment.
2016/09,9/2/16,Washington Nationals selected the contract of RHPMat Latosfrom Syracuse Chiefs.
2016/09,9/2/16,Washington Nationals selected the contract of LHPSean Burnettfrom Syracuse Chiefs.
2016/09,9/2/16,Washington Nationals recalled RHPTrevor Gottfrom Syracuse Chiefs.
2016/09,9/2/16,Washington Nationals recalled CFBrian Goodwinfrom Syracuse Chiefs.
2016/09,9/2/16,Washington Nationals recalled LHPMatt Gracefrom Syracuse Chiefs.
2016/09,9/2/16,Washington Nationals recalled RHPRafael Martinfrom Syracuse Chiefs.
2016/09,9/2/16,Washington Nationals recalled CPedro Severinofrom Syracuse Chiefs.
2016/09,9/3/16,Washington Nationals sent CFMatt den Dekkeroutright to Syracuse Chiefs.
2016/09,9/4/16,Washington Nationals recalled RHPReynaldo Lopezfrom Syracuse Chiefs.
2016/09,9/5/16,Washington Nationals signed free agent RHPJose Placencioto a minor league contract.
2016/09,9/6/16,Washington Nationals recalled RHPLucas Giolitofrom Syracuse Chiefs.
2016/09,9/6/16,Washington Nationals recalled 2BWilmer Difofrom Syracuse Chiefs.
2016/09,9/7/16,Washington Nationals activated RHPStephen Strasburgfrom the 15-day disabled list.
2016/09,9/7/16,Washington Nationals activated 2BStephen Drewfrom the 15-day disabled list.
2016/09,9/18/16,Washington Nationals activated RHPJoe Rossfrom the 60-day disabled list.
2016/09,9/18/16,Washington Nationals designated 2BChris Bostickfor assignment.
2016/09,9/26/16,Washington Nationals activated LHPSammy Solisfrom the 15-day disabled list.
2016/09,9/26/16,WashingtonNationalstraded2BChrisBosticktoPittsburghPiratesforCTaylorGushueandcash.
2016/09,9/26/16,Washington Nationals traded 2B Chris Bostick to Pittsburgh Pirates for CTaylor Gushueand cash.
2016/09,9/26/16,Washington Nationals traded 2BChris Bostickto Pittsburgh Pirates for C Taylor Gushue and cash.
2016/09,9/27/16,Washington Nationals recalled CSpencer Kieboomfrom Harrisburg Senators.
2016/08,8/6/16,"Washington Nationals placed 1BRyan Zimmermanon the 15-day disabled list retroactive to August 1, 2016. Left wrist contusion."
2016/08,8/6/16,Washington Nationals recalledBrian Goodwinfrom Syracuse Chiefs.
2016/08,8/10/16,Washington Nationals signed free agent RHPFray Perezto a minor league contract.
2016/08,8/10/16,Washington Nationals signed free agent SSAdrian Lirianoto a minor league contract.
2016/08,8/13/16,Washington Nationals released RHPJonathan Papelbon.
2016/08,8/13/16,Washington Nationals recalledReynaldo Lopezfrom Syracuse Chiefs.
2016/08,8/15/16,Washington Nationals sent CJose Lobatonon a rehab assignment to Syracuse Chiefs.
2016/08,8/15/16,Washington Nationals sent 1BRyan Zimmermanon a rehab assignment to Syracuse Chiefs.
2016/08,8/17/16,"Washington Nationals placed LHPSammy Solison the 15-day disabled list retroactive to August 16, 2016. Left shoulder inflammation."
2016/08,8/17/16,Washington Nationals recalled RHPKoda Gloverfrom Syracuse Chiefs.
2016/08,8/18/16,Washington Nationals optioned CFBrian Goodwinto Syracuse Chiefs.
2016/08,8/18/16,Washington Nationals signed free agent RHPMitch Livelyto a minor league contract.
2016/08,8/18/16,Washington Nationals recalledA.J. Colefrom Syracuse Chiefs.
2016/08,8/20/16,Washington Nationals activated CJose Lobatonfrom the 15-day disabled list.
2016/08,8/20/16,Washington Nationals activated 1BRyan Zimmermanfrom the 15-day disabled list.
2016/08,8/20/16,Washington Nationals optioned RHPA.J. Coleto Syracuse Chiefs.
2016/08,8/20/16,Washington Nationals optioned CPedro Severinoto Syracuse Chiefs.
2016/08,8/22/16,"Washington Nationals placed RHPStephen Strasburgon the 15-day disabled list retroactive to August 21, 2016. Right elbow soreness."
2016/08,8/22/16,Washington Nationals recalled RHPA.J. Colefrom Syracuse Chiefs.
2016/08,8/25/16,Washington Nationals optioned RHPReynaldo Lopezto Syracuse Chiefs.
2016/08,8/25/16,OaklandAthleticstradedLHPMarcRzepczynskiandcashtoWashingtonNationalsfor2BMaxSchrock.
2016/08,8/25/16,Oakland Athletics traded LHPMarc Rzepczynskiand cash to Washington Nationals for 2B Max Schrock.
2016/08,8/25/16,Oakland Athletics traded LHP Marc Rzepczynski and cash to Washington Nationals for 2BMax Schrock.
2016/08,8/27/16,Washington Nationals sent RHPJoe Rosson a rehab assignment to Syracuse Chiefs.
2016/08,8/28/16,Washington Nationals optioned SSWilmer Difoto Harrisburg Senators.
2016/08,8/28/16,Washington Nationals recalledLucas Giolitofrom Syracuse Chiefs.
2016/08,8/29/16,Washington Nationals optioned RHPLucas Giolitoto Syracuse Chiefs.
2016/08,8/29/16,Washington Nationals recalledMichael Taylorfrom Syracuse Chiefs.
2016/07,7/1/16,Washington Nationals signed RHPDane Dunning.
2016/07,7/1/16,Washington Nationals signed LHPHayden Howard.
2016/07,7/2/16,Washington Nationals signed free agent RHPRafael Melendezto a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent RHPCarlos Cuelloto a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent OFDavid Escobarto a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent CLuis Santanato a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent SSCesar Porteto a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent RHPWilson Severinoto a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent CRonaldy Sosato a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent CFRicardo Mendezto a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent CIsrael Pinedato a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent RHPEric Penato a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent RHPJohan Adonto a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent RHPThony Amorosoto a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent CWilmer Perezto a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent CKelvin Pachecoto a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent RHPNiomar Gomezto a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent SSYasel Antunato a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent OFLanderson Penato a minor league contract.
2016/07,7/2/16,Washington Nationals signed free agent SSLuis Garciato a minor league contract.
2016/07,7/3/16,Washington Nationals activated RHPStephen Strasburgfrom the 15-day disabled list.
2016/07,7/3/16,Washington Nationals placed RHPJoe Rosson the 15-day disabled list. Right shoulder inflammation.
2016/07,7/3/16,Washington Nationals signed free agent RHPMat Latosto a minor league contract.
2016/07,7/4/16,Washington Nationals activated RHPJonathan Papelbonfrom the 15-day disabled list.
2016/07,7/4/16,Washington Nationals optioned CFMichael Taylorto Syracuse Chiefs.
2016/07,7/5/16,Washington Nationals signed free agent RHPMark Blackmarto a minor league contract.
2016/07,7/8/16,"Washington Nationals placed 1BRyan Zimmermanon the 15-day disabled list retroactive to July 7, 2016. Left rib cage strain."
2016/07,7/8/16,Washington Nationals optioned RHPLucas Giolitoto Syracuse Chiefs.
2016/07,7/8/16,Washington Nationals recalledMichael Taylorfrom Syracuse Chiefs.
2016/07,7/8/16,Washington Nationals recalled CFTrea Turnerfrom Syracuse Chiefs.
2016/07,7/12/16,LosAngelesAngelstradedRHPMattTindalltoWashingtonNationalsforcash.
2016/07,7/12/16,Los Angeles Angels traded RHPMatt Tindallto Washington Nationals for cash.
2016/07,7/13/16,Washington Nationals signed free agent SSJose Sanchezto a minor league contract.
2016/07,7/18/16,"Washington Nationals placed LHPSammy Solison the 15-day disabled list retroactive to July 8, 2016. Right knee."
2016/07,7/18/16,"Washington Nationals placed LHPSammy Solison the 15-day disabled list retroactive to July 8, 2016. Right knee inflammation."
2016/07,7/19/16,Cincinnati Reds claimed RHPAbel De Los Santosoff waivers from Washington Nationals.
2016/07,7/19/16,Washington Nationals selected the contract ofReynaldo Lopezfrom Syracuse Chiefs.
2016/07,7/20/16,Washington Nationals designated LHPNick Leefor assignment.
2016/07,7/20/16,Washington Nationals optioned RHPReynaldo Lopezto Syracuse Chiefs.
2016/07,7/20/16,Washington Nationals selected the contract ofKoda Gloverfrom Syracuse Chiefs.
2016/07,7/21/16,Washington Nationals sent 1BRyan Zimmermanon a rehab assignment to Potomac Nationals.
2016/07,7/22/16,Washington Nationals sent LHPSammy Solison a rehab assignment to Potomac Nationals.
2016/07,7/22/16,Washington Nationals signed free agent RHPJustin DeFratusto a minor league contract.
2016/07,7/23/16,Washington Nationals sentNick Leeoutright to Harrisburg Senators.
2016/07,7/24/16,Washington Nationals optioned RHPKoda Gloverto Syracuse Chiefs.
2016/07,7/24/16,Washington Nationals recalledLucas Giolitofrom Syracuse Chiefs.
2016/07,7/25/16,Washington Nationals activated LHPSammy Solisfrom the 15-day disabled list.
2016/07,7/25/16,Washington Nationals optioned CFMichael Taylorto Syracuse Chiefs.
2016/07,7/25/16,Washington Nationals optioned RHPLucas Giolitoto Syracuse Chiefs.
2016/07,7/26/16,Washington Nationals activated 1BRyan Zimmermanfrom the 15-day disabled list.
2016/07,7/27/16,"Washington Nationals placed 2BStephen Drewon the 15-day disabled list retroactive to July 24, 2016. Vertigo-like symptoms."
2016/07,7/27/16,Washington Nationals recalledWilmer Difofrom Harrisburg Senators.
2016/07,7/29/16,"Washington Nationals placed CJose Lobatonon the 15-day disabled list retroactive to July 20, 2016. Left elbow tendinitis."
2016/07,7/29/16,Washington Nationals recalledPedro Severinofrom Syracuse Chiefs.
2016/07,7/30/16,Washington Nationals sent RHPJoe Rosson a rehab assignment to Syracuse Chiefs.
2016/07,7/30/16,Washington Nationals traded LHP Felipe Rivero and LHP Taylor Hearn to Pittsburgh Pirates for RHPMark Melancon.
2016/07,7/30/16,Washington Nationals traded LHPFelipe Riveroand LHP Taylor Hearn to Pittsburgh Pirates for RHP Mark Melancon.
2016/07,7/30/16,Washington Nationals traded LHP Felipe Rivero and LHPTaylor Hearnto Pittsburgh Pirates for RHP Mark Melancon.
2016/07,7/30/16,Washington Nationals recalledReynaldo Lopezfrom Syracuse Chiefs.
2016/07,7/31/16,Washington Nationals activated RHPMark Melancon.
2016/07,7/31/16,Washington Nationals optioned RHPReynaldo Lopezto Syracuse Chiefs.
2016/06,6/3/16,Washington Nationals placed 1BRyan Zimmermanon the paternity list.
2016/06,6/3/16,Washington Nationals recalledTrea Turnerfrom Syracuse Chiefs.
2016/06,6/6/16,Washington Nationals activated 1BRyan Zimmermanfrom the paternity list.
2016/06,6/6/16,Washington Nationals optioned SSTrea Turnerto Syracuse Chiefs.
2016/06,6/6/16,Washington Nationals signed free agent 2BSteve Lombardozzito a minor league contract.
2016/06,6/7/16,Washington Nationals signed free agent 2BSteve Lombardozzito a minor league contract.
2016/06,6/8/16,Washington Nationals sent RHPMatt Belisleon a rehab assignment to Syracuse Chiefs.
2016/06,6/9/16,Washington Nationals signed free agent RHPJ.D. Martinto a minor league contract.
2016/06,6/14/16,"Washington Nationals placed RHPJonathan Papelbonon the 15-day disabled list retroactive to June 13, 2016. Right intercostal strain."
2016/06,6/14/16,Washington Nationals activated RHPMatt Belislefrom the 15-day disabled list.
2016/06,6/14/16,Washington Nationals signed free agent RHPRafael Gomezto a minor league contract.
2016/06,6/15/16,Washington Nationals signed free agent RHPHector Ramirezto a minor league contract.
2016/06,6/16/16,Washington Nationals signed free agent CChance Shepardto a minor league contract.
2016/06,6/17/16,Washington Nationals signed SSPaul Panaccione.
2016/06,6/17/16,Washington Nationals signed OFDaniel Johnson.
2016/06,6/17/16,Washington Nationals signed CTres Barrera.
2016/06,6/20/16,Washington Nationals signed RHPKyle Simonds.
2016/06,6/20/16,Washington Nationals signed RHPA.J. Bogucki.
2016/06,6/20/16,Washington Nationals signed 2BJake Noll.
2016/06,6/20/16,Washington Nationals signed CJoey Harris.
2016/06,6/20/16,Washington Nationals signed 1BConner Simonetti.
2016/06,6/20/16,Washington Nationals signed LHPJesus Luzardo.
2016/06,6/20/16,Washington Nationals signed OFJack Sundberg.
2016/06,6/20/16,Washington Nationals signed CCJ Picerni.
2016/06,6/20/16,Washington Nationals signed LHPJake Barnett.
2016/06,6/20/16,Washington Nationals signed RHPMichael Rishwain.
2016/06,6/20/16,Washington Nationals signed LHPBen Braymer.
2016/06,6/20/16,Washington Nationals signed RHPJoseph Baltrip.
2016/06,6/20/16,Washington Nationals signed RHPSterling Sharp.
2016/06,6/20/16,Washington Nationals signed LHPJeremy McDonald.
2016/06,6/20/16,Washington Nationals signed SSBranden Boggetto.
2016/06,6/20/16,Washington Nationals signed RHPJacob Howell.
2016/06,6/20/16,Washington Nationals signed RHPPhil Morse.
2016/06,6/20/16,Washington Nationals signed 3BSheldon Neuse.
2016/06,6/20/16,Washington Nationals signed SSCarter Kieboom.
2016/06,6/20/16,Washington Nationals signed LHPJonny Reid.
2016/06,6/21/16,Washington Nationals signed CFArmond Upshaw.
2016/06,6/21/16,Washington Nationals signed RHP Samuel Held.
2016/06,6/22/16,Washington Nationals signed RFNick Banks.
2016/06,6/23/16,Washington Nationals signed SSTyler Beckwith.
2016/06,6/23/16,Washington Nationals signed LHPRyan Williamson.
2016/06,6/26/16,"Washington Nationals placed RHPStephen Strasburgon the 15-day disabled list retroactive to June 16, 2016. Upper back strain."
2016/06,6/27/16,Washington Nationals sent RHPJonathan Papelbonon a rehab assignment to Potomac Nationals.
2016/06,6/27/16,Washington Nationals signed free agent RHPWhit Mayberryto a minor league contract.
2016/06,6/27/16,Washington Nationals recalledRafael Martinfrom Syracuse Chiefs.
2016/06,6/28/16,Washington Nationals optioned RHPRafael Martinto Syracuse Chiefs.
2016/06,6/28/16,Washington Nationals released RHPTaylor Jordan.
2016/06,6/28/16,Washington Nationals selected the contract ofLucas Giolitofrom Harrisburg Senators.
